time,x,y,a,b,ab,xy,qor,is_best
3.3046157360076904,14,4,2,9,103,252,149.0,1
3.3046157360076904,11,6,8,3,97,187,90.0,1
6.227372407913208,4,2,9,6,171,24,-147.0,1
6.227372407913208,15,12,10,6,196,405,209.0,0
9.014658212661743,5,12,8,5,129,85,-44.0,0
9.014658212661743,13,8,7,9,193,273,80.0,0
11.998564004898071,13,6,3,6,63,247,184.0,0
11.998564004898071,13,11,7,8,169,312,143.0,0
14.917572975158691,4,2,9,11,301,24,-277.0,1
14.917572975158691,12,11,4,4,48,276,228.0,0
17.7656033039093,4,2,11,6,223,24,-199.0,0
17.7656033039093,4,3,5,7,109,28,-81.0,0
20.423043727874756,3,2,9,6,171,15,-156.0,0
20.423043727874756,3,7,3,6,63,30,-33.0,0
23.37283730506897,4,2,10,6,196,24,-172.0,0
23.37283730506897,14,6,13,7,309,280,-29.0,0
26.31439733505249,14,6,9,5,151,280,129.0,0
26.31439733505249,4,2,11,10,331,24,-307.0,1
28.8918194770813,13,6,3,12,189,247,58.0,0
28.8918194770813,6,2,7,11,247,48,-199.0,0
31.851471662521362,4,8,3,4,37,48,11.0,0
31.851471662521362,4,2,11,11,363,24,-339.0,1
34.61642551422119,15,6,3,11,163,315,152.0,0
34.61642551422119,3,2,12,12,432,15,-417.0,1
37.107014179229736,4,2,10,12,364,24,-340.0,0
37.107014179229736,4,2,13,12,469,24,-445.0,1
39.878626108169556,2,2,11,11,363,8,-355.0,0
39.878626108169556,3,4,12,12,432,21,-411.0,0
42.88955569267273,3,3,12,12,432,18,-414.0,0
42.88955569267273,3,2,12,11,397,15,-382.0,0
45.87345051765442,4,2,4,12,208,24,-184.0,0
45.87345051765442,3,4,13,12,469,21,-448.0,1
48.534789085388184,15,2,13,12,469,255,-214.0,0
48.534789085388184,3,3,13,11,433,18,-415.0,0
51.42185187339783,8,4,13,12,469,96,-373.0,0
51.42185187339783,3,4,14,12,508,21,-487.0,1
54.98641037940979,9,2,13,9,367,99,-268.0,0
54.98641037940979,5,5,13,12,469,50,-419.0,0
57.94240856170654,13,5,12,9,333,234,-99.0,0
57.94240856170654,5,4,13,11,433,45,-388.0,0
60.361626625061035,3,11,7,12,277,42,-235.0,0
60.361626625061035,4,5,11,12,397,36,-361.0,0
62.81624221801758,7,3,2,4,28,70,42.0,0
62.81624221801758,5,4,12,12,432,45,-387.0,0
66.01368856430054,7,10,12,10,364,119,-245.0,0
66.01368856430054,4,4,15,11,511,32,-479.0,0
68.92765736579895,15,9,6,4,76,360,284.0,0
68.92765736579895,2,3,14,12,508,10,-498.0,1
71.87828373908997,15,7,6,11,223,330,107.0,0
71.87828373908997,2,3,15,12,549,10,-539.0,1
