time,-O,-faggressive-loop-optimizations,-falign-functions,-falign-jumps,-falign-labels,-falign-loops,-fasynchronous-unwind-tables,-fbranch-count-reg,-fbranch-probabilities,-fbranch-target-load-optimize,-fbranch-target-load-optimize2,-fbtr-bb-exclusive,-fcaller-saves,-fcombine-stack-adjustments,-fcommon,-fcompare-elim,-fconserve-stack,-fcprop-registers,-fcrossjumping,-fcse-follow-jumps,-fcx-fortran-rules,-fcx-limited-range,-fdata-sections,-fdce,-fdefer-pop,-fdelayed-branch,-fdelete-null-pointer-checks,-fdevirtualize,-fdse,-fearly-inlining,-fexceptions,-fexpensive-optimizations,-ffinite-math-only,-ffloat-store,-fforward-propagate,-fgcse,-fgcse-after-reload,-fgcse-las,-fgcse-lm,-fgcse-sm,-fgraphite-identity,-fguess-branch-probability,-fhandle-exceptions,-fhoist-adjacent-loads,-fif-conversion,-fif-conversion2,-finline,-finline-atomics,-finline-functions,-finline-functions-called-once,-finline-small-functions,-fipa-cp,-fipa-cp-clone,-fipa-profile,-fipa-pta,-fipa-pure-const,-fipa-reference,-fipa-sra,-fira-hoist-pressure,-fivopts,-fjump-tables,-floop-block,-floop-interchange,-floop-nest-optimize,-floop-parallelize-all,-floop-strip-mine,-fmath-errno,-fmerge-all-constants,-fmerge-constants,-fmodulo-sched,-fmove-loop-invariants,-fnon-call-exceptions,-fnothrow-opt,-fomit-frame-pointer,-fopt-info,-foptimize-register-move,-foptimize-sibling-calls,-foptimize-strlen,-fpeel-loops,-fpeephole,-fpeephole2,-fpredictive-commoning,-fprefetch-loop-arrays,-freg-struct-return,-fregmove,-frename-registers,-freorder-blocks,-freorder-blocks-and-partition,-freorder-functions,-frerun-cse-after-loop,-freschedule-modulo-scheduled-loops,-frounding-math,-frtti,-fsched-critical-path-heuristic,-fsched-dep-count-heuristic,-fsched-group-heuristic,-fsched-interblock,-fsched-last-insn-heuristic,-fsched-pressure,-fsched-rank-heuristic,-fsched-spec,-fsched-spec-insn-heuristic,-fsched-spec-load,-fsched-spec-load-dangerous,-fsched-stalled-insns,-fsched-stalled-insns-dep,-fsched2-use-superblocks,-fschedule-insns,-fschedule-insns2,-fsection-anchors,-fsel-sched-pipelining,-fsel-sched-pipelining-outer-loops,-fsel-sched-reschedule-pipelined,-fselective-scheduling,-fselective-scheduling2,-fshort-enums,-fshort-wchar,-fshrink-wrap,-fsignaling-nans,-fsigned-zeros,-fsingle-precision-constant,-fsplit-ivs-in-unroller,-fsplit-wide-types,-fstack-clash-protection,-fstrict-aliasing,-fstrict-enums,-fthread-jumps,-fno-threadsafe-statics,-ftoplevel-reorder,-ftrapping-math,-ftrapv,-ftree-bit-ccp,-ftree-builtin-call-dce,-ftree-ccp,-ftree-ch,-ftree-coalesce-vars,-ftree-copy-prop,-ftree-copyrename,-ftree-cselim,-ftree-dce,-ftree-dominator-opts,-ftree-dse,-ftree-forwprop,-ftree-fre,-ftree-loop-distribute-patterns,-ftree-loop-distribution,-ftree-loop-if-convert,-ftree-loop-if-convert-stores,-ftree-loop-im,-ftree-loop-ivcanon,-ftree-loop-optimize,-ftree-lrs,-ftree-partial-pre,-ftree-phiprop,-ftree-pre,-ftree-pta,-ftree-reassoc,-ftree-scev-cprop,-ftree-sink,-ftree-slp-vectorize,-ftree-slsr,-ftree-sra,-ftree-switch-conversion,-ftree-tail-merge,-ftree-ter,-ftree-vect-loop-version,-ftree-vectorize,-ftree-vrp,-funit-at-a-time,-funroll-all-loops,-funroll-loops,-funsafe-loop-optimizations,-funsafe-math-optimizations,-funswitch-loops,-funwind-tables,-fvar-tracking,-fvar-tracking-assignments,-fvar-tracking-assignments-toggle,-fvar-tracking-uninit,-fvariable-expansion-in-unroller,-fvect-cost-model,-fvpt,-fweb,-fwhole-program,-fwrapv,align-loop-iterations,align-threshold,allow-load-data-races,allow-packed-load-data-races,allow-packed-store-data-races,allow-store-data-races,case-values-threshold,comdat-sharing-probability,cxx-max-namespaces-for-diagnostic-help,early-inlining-insns,gcse-after-reload-critical-fraction,gcse-after-reload-partial-fraction,gcse-cost-distance-ratio,gcse-unrestricted-cost,ggc-min-expand,ggc-min-heapsize,graphite-max-bbs-per-function,graphite-max-nb-scop-params,hot-bb-count-ws-permille,hot-bb-frequency-fraction,inline-min-speedup,inline-unit-growth,integer-share-limit,ipa-cp-eval-threshold,ipa-cp-loop-hint-bonus,ipa-cp-value-list-size,ipa-max-agg-items,ipa-sra-ptr-growth-factor,ipcp-unit-growth,ira-loop-reserved-regs,ira-max-conflict-table-size,ira-max-loops-num,iv-always-prune-cand-set-bound,iv-consider-all-candidates-bound,iv-max-considered-uses,l1-cache-line-size,l1-cache-size,l2-cache-size,large-function-growth,large-function-insns,large-stack-frame,large-stack-frame-growth,large-unit-insns,lim-expensive,loop-block-tile-size,loop-invariant-max-bbs-in-loop,loop-max-datarefs-for-datadeps,lto-min-partition,lto-partitions,max-average-unrolled-insns,max-completely-peel-loop-nest-depth,max-completely-peel-times,max-completely-peeled-insns,max-crossjump-edges,max-cse-insns,max-cse-path-length,max-cselib-memory-locations,max-delay-slot-insn-search,max-delay-slot-live-search,max-dse-active-local-stores,max-early-inliner-iterations,max-fields-for-field-sensitive,max-gcse-insertion-ratio,max-gcse-memory,max-goto-duplication-insns,max-grow-copy-bb-insns,max-hoist-depth,max-inline-insns-auto,max-inline-insns-recursive,max-inline-insns-recursive-auto,max-inline-insns-single,max-inline-recursive-depth,max-inline-recursive-depth-auto,max-iterations-computation-cost,max-iterations-to-track,max-jump-thread-duplication-stmts,max-last-value-rtl,max-modulo-backtrack-attempts,max-once-peeled-insns,max-partial-antic-length,max-peel-branches,max-peel-times,max-peeled-insns,max-pending-list-length,max-pipeline-region-blocks,max-pipeline-region-insns,max-predicted-iterations,max-reload-search-insns,max-sched-extend-regions-iters,max-sched-insn-conflict-delay,max-sched-ready-insns,max-sched-region-blocks,max-sched-region-insns,max-slsr-cand-scan,max-stores-to-sink,max-tail-merge-comparisons,max-tail-merge-iterations,max-tracked-strlens,max-unroll-times,max-unrolled-insns,max-unswitch-insns,max-unswitch-level,max-variable-expansions-in-unroller,max-vartrack-expr-depth,max-vartrack-reverse-op-size,max-vartrack-size,min-crossjump-insns,min-inline-recursive-probability,min-insn-to-prefetch-ratio,min-spec-prob,min-vect-loop-bound,omega-eliminate-redundant-constraints,omega-hash-table-size,omega-max-eqs,omega-max-geqs,omega-max-keys,omega-max-vars,omega-max-wild-cards,partial-inlining-entry-probability,predictable-branch-outcome,prefetch-latency,prefetch-min-insn-to-mem-ratio,sccvn-max-alias-queries-per-access,sccvn-max-scc-size,scev-max-expr-complexity,scev-max-expr-size,sched-mem-true-dep-cost,sched-pressure-algorithm,sched-spec-prob-cutoff,sched-state-edge-prob-cutoff,selsched-insns-to-rename,selsched-max-lookahead,selsched-max-sched-times,simultaneous-prefetches,sink-frequency-threshold,slp-max-insns-in-bb,sms-dfa-history,sms-loop-average-count-threshold,sms-max-ii-factor,sms-min-sc,ssp-buffer-size,switch-conversion-max-branch-ratio,tm-max-aggregate-size,tracer-dynamic-coverage,tracer-dynamic-coverage-feedback,tracer-max-code-growth,tracer-min-branch-probability,tracer-min-branch-probability-feedback,tracer-min-branch-ratio,tree-reassoc-width,uninit-control-dep-attempts,use-canonical-types,vect-max-version-for-alias-checks,vect-max-version-for-alignment-checks,build_time,qor,is_best
147.56573581695557,0,3,3,1,2,3,2,3,3,3,3,1,1,1,2,3,1,2,3,2,3,2,1,2,1,2,2,2,1,2,1,3,1,1,1,2,2,1,1,3,2,1,2,2,3,3,2,2,1,2,3,3,1,1,3,3,3,2,2,1,2,1,2,3,1,3,1,2,3,1,2,2,1,2,3,1,3,1,1,1,2,3,1,3,3,1,3,1,3,2,1,3,1,3,2,1,1,3,1,1,3,2,2,2,2,1,1,3,2,1,2,3,2,3,2,1,3,3,1,1,3,2,2,3,3,2,1,3,1,2,2,2,3,3,1,1,2,2,1,2,3,1,1,2,3,1,3,2,3,2,2,1,3,1,1,3,3,2,1,2,1,3,2,3,1,3,3,3,3,1,2,2,1,2,1,1,3,3,2,3,1,1,1,3,2,5,320,1,0,0,1,0,65,2900,20,8,7,15,4,97,10051,100,25,466,2058,29,80,636,807,72,25,52,4,10,4,2367,351,31,82,572,8,131,1243,138,5241,558,2351,18226,27,144,22573,830,3251,53,158,24,36,162,398,2266,3,554,383,339,13204,0,3,76,107572959,30,11,55,15,912,1670,772,6,29,36,3923,22,22954,68,188,152,86,37,227,98,42,456,279,145,2,10,224,39,177,34,6,18,1,2711,24,571,178,5,0,10,106,57195750,8,37,29,130,2,0,697,434,743,345,460,51,157,5,235,12,3138,30797,13,395,2,1,70,25,2,37,6,8,68,3121,0,3,282,2,5,30,4,36,45,236,36,35,38,0,3758,0,16,7,18.799301147460938,608.1986427307129,1
147.56573581695557,1,3,1,2,1,2,2,1,1,2,1,1,1,3,3,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,3,1,3,3,2,1,2,1,2,3,3,2,2,1,1,2,1,1,3,3,1,1,2,1,3,2,2,2,2,2,3,3,3,3,1,1,1,2,1,3,1,2,3,3,2,3,3,2,2,2,1,1,2,1,1,2,3,3,3,1,2,2,1,3,1,3,3,1,1,1,3,1,3,3,3,2,1,1,3,1,1,1,3,1,2,1,1,2,3,3,3,2,2,1,2,1,2,3,2,2,1,2,3,2,2,2,3,2,3,2,3,1,1,3,1,2,1,1,3,2,1,3,2,2,3,1,2,1,3,2,1,3,3,1,1,1,1,3,3,2,1,3,3,1,2,3,1,2,2,2,2,1,2,2,11,400,0,1,0,1,0,74,3734,14,16,1,19,3,66,7602,320,38,612,1129,32,11,350,604,38,22,61,0,24,2,459,321,23,119,972,3,27,1949,198,5467,127,1171,6280,57,129,9257,3930,993,30,68,24,49,79,368,511,15,1749,161,932,7541,0,4,35,186605109,23,3,50,20,398,968,1046,9,13,31,3563,56,32285,31,1331,123,108,33,121,79,13,201,176,166,4,10,338,2,99,25,8,25,3,1944,25,397,187,3,3,9,185,123016756,12,32,29,69,4,0,1863,408,208,1617,328,72,103,8,162,3,1006,29605,27,261,2,1,81,37,5,49,7,11,67,3481,2,1,262,1,3,16,24,97,76,38,72,52,35,4,3800,1,32,22,18.88503646850586,515.1231288909912,1
147.56573581695557,3,2,3,1,2,2,1,3,2,3,3,2,1,1,1,3,3,3,1,2,1,2,3,1,1,2,3,2,3,3,3,3,2,3,2,3,1,2,3,2,3,3,3,2,1,1,1,3,3,3,1,3,2,3,2,2,3,3,3,3,2,2,2,1,2,3,3,2,2,3,3,3,1,1,2,2,1,2,1,3,1,3,3,1,3,2,3,1,1,1,1,3,3,3,1,3,3,2,2,1,3,1,1,3,1,3,1,1,1,3,1,3,3,1,3,2,2,1,2,2,1,2,1,1,2,1,1,3,2,3,3,3,1,2,2,1,2,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,1,1,3,2,3,1,2,3,1,2,1,3,2,3,2,2,1,1,2,3,1,2,2,3,1,3,3,3,2,3,2,2,1,13,189,1,1,1,1,2,12,2126,40,5,8,3,11,34,3011,315,38,969,657,7,86,766,953,125,16,42,6,21,3,753,111,13,36,865,4,223,1363,368,8660,743,3636,23091,29,189,37215,1238,3527,111,76,16,32,45,346,1478,21,1604,372,1226,12121,0,4,29,38050162,3,28,74,40,1518,1519,1157,2,18,26,590,40,19050,143,110,61,53,19,82,65,45,694,173,181,4,5,254,31,62,105,0,8,0,997,4,373,177,9,3,48,176,153331543,9,27,5,52,2,0,1211,449,588,311,61,15,262,6,254,2,3883,12637,32,291,0,1,65,17,2,68,6,6,78,659,1,3,44,6,19,9,5,34,46,185,30,99,3,2,597,0,25,18,18.170808792114258,16.389131546020508,1
147.56573581695557,1,1,3,1,2,3,1,3,2,3,3,3,2,2,2,1,2,3,1,3,1,1,3,1,2,2,1,3,1,2,1,1,2,3,1,1,1,2,2,1,3,1,3,2,1,1,2,2,2,3,1,1,1,2,3,3,2,1,1,2,2,3,2,1,3,3,1,2,3,3,2,3,1,1,3,1,3,2,1,1,2,3,2,3,2,2,3,1,2,3,3,3,3,2,2,1,2,1,3,2,1,3,2,2,3,1,3,1,1,2,2,2,2,2,3,1,2,3,1,2,2,3,2,2,1,1,3,2,1,2,1,3,3,3,1,3,3,3,3,1,2,2,3,3,1,1,3,3,2,3,1,2,3,3,3,3,2,3,1,2,2,2,1,1,2,2,1,1,3,2,2,3,1,3,2,2,3,2,1,3,1,3,2,1,2,7,152,0,0,0,0,2,68,3627,3,23,4,4,11,75,6764,98,22,476,1689,37,57,236,418,46,14,19,7,29,6,3835,273,4,110,376,7,127,413,172,5343,470,2030,21513,32,180,15956,1403,997,105,208,26,28,70,238,3048,18,712,398,516,9179,1,2,40,36368599,22,11,61,69,507,1389,365,28,10,27,2138,22,19063,34,1024,139,17,38,168,22,47,606,362,394,4,4,258,16,221,28,7,4,2,2787,14,611,198,1,0,24,92,185675320,16,5,12,76,1,0,1424,123,773,1929,339,32,190,8,551,9,1446,11762,18,323,4,2,97,11,2,20,6,2,92,1258,2,3,68,1,28,16,35,70,63,323,19,100,16,1,1004,1,31,16,18.770877361297607,685.737133026123,0
147.56573581695557,3,1,2,3,3,3,1,3,3,3,3,3,1,2,2,1,1,3,1,3,1,3,2,3,3,3,1,3,1,2,2,1,1,3,3,1,1,1,3,3,2,2,2,1,2,2,2,2,3,1,2,3,1,2,3,3,1,3,3,2,3,1,3,1,3,3,2,3,2,2,1,3,2,3,3,2,3,1,3,3,1,1,1,3,1,2,1,1,1,3,2,1,1,2,1,1,1,3,1,3,1,3,3,3,1,3,2,1,1,2,2,1,2,3,1,1,3,1,3,1,1,2,2,2,3,1,3,3,2,1,1,1,1,1,2,3,2,2,1,2,2,1,3,3,2,2,3,1,1,3,1,1,1,1,1,3,3,2,2,2,1,1,3,3,2,1,2,1,3,3,3,2,1,2,2,2,2,1,2,3,3,3,2,3,3,4,176,1,1,1,0,0,65,3127,23,40,8,22,7,60,9111,218,2,939,2680,6,80,999,771,203,26,34,2,8,7,1998,180,28,109,86,3,22,1367,217,10351,907,3014,33920,66,42,26645,3499,3364,79,70,27,17,107,189,3563,29,802,51,1049,18934,0,1,9,55528203,27,24,49,12,346,1094,551,23,10,33,3819,27,23156,83,1581,244,53,28,134,122,46,525,30,381,3,5,66,7,49,171,4,28,6,2271,3,294,78,8,1,39,145,55737298,14,31,3,58,1,0,338,262,1013,210,512,12,212,1,681,1,2274,16565,13,148,4,2,61,21,6,57,6,6,46,3042,2,4,81,5,15,4,9,32,75,341,93,41,40,0,1812,0,21,14,18.83782172203064,612.9152774810791,0
147.56573581695557,2,2,3,2,2,2,2,2,1,1,2,3,1,3,3,2,1,2,2,2,2,3,2,2,1,2,2,1,1,3,1,1,3,2,1,2,1,1,2,2,2,2,2,2,3,1,1,2,1,3,1,1,2,2,3,1,1,2,1,2,1,1,1,2,3,3,1,1,2,1,3,1,1,1,1,2,3,1,3,3,1,3,1,1,3,3,3,1,2,3,3,3,1,2,1,1,2,1,3,1,3,2,2,3,2,3,2,1,2,3,2,2,1,1,2,3,2,1,1,3,3,1,1,2,1,1,1,3,1,1,2,3,1,3,3,2,1,2,2,2,2,1,1,2,1,1,2,3,2,3,1,1,1,3,1,2,3,1,2,3,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,3,1,3,3,3,2,2,3,3,1,8,306,0,1,1,0,2,70,2365,29,32,9,4,10,63,10563,101,30,712,3723,38,49,579,1867,78,27,27,8,11,3,1954,392,6,19,771,2,215,1280,160,4281,508,333,18211,37,161,35834,456,899,74,281,11,5,59,300,3850,40,961,88,164,13695,3,4,56,65121934,8,14,105,153,894,1007,759,24,4,19,1670,5,20164,141,426,56,35,62,254,117,13,345,216,119,3,2,38,20,65,66,5,25,3,2484,28,109,48,5,2,45,186,91927474,10,33,3,72,3,0,1079,475,99,779,148,48,205,7,792,10,2637,5400,8,113,1,1,75,9,6,38,4,3,52,1929,0,3,187,1,3,23,4,59,76,359,34,90,31,1,1161,0,32,16,18.65582275390625,323.38690757751465,0
147.56573581695557,3,1,3,3,3,3,1,1,3,3,1,2,3,3,1,2,2,3,3,2,1,1,1,3,3,2,2,3,2,1,2,3,3,2,2,3,2,1,2,2,2,3,3,1,1,1,1,1,3,3,3,2,1,1,1,3,2,2,1,2,1,2,3,1,1,3,1,2,1,1,2,2,3,2,3,1,3,1,2,2,1,1,2,3,1,3,3,3,1,2,3,2,2,3,3,3,2,2,1,3,1,1,1,1,3,2,1,2,3,3,1,2,3,3,3,2,3,1,2,1,3,1,1,1,1,3,3,3,2,1,2,2,3,3,1,2,1,1,3,1,3,2,2,1,2,1,3,1,3,3,2,1,2,2,3,2,2,1,2,1,3,3,3,1,2,3,3,3,2,2,2,1,1,1,1,2,2,2,3,3,3,1,3,2,1,9,364,1,1,0,0,0,11,3044,40,2,9,38,10,31,10388,389,6,910,1760,6,106,293,1839,25,18,49,7,16,8,2504,26,18,63,739,6,79,1815,276,3609,81,2673,32678,13,53,10874,3385,2350,27,72,28,56,208,382,2791,4,1163,295,1244,1773,0,4,59,189363547,12,7,45,28,1288,1604,116,25,15,20,3857,6,22177,115,1159,106,16,35,168,100,53,498,381,125,0,7,37,27,192,91,5,17,5,3248,18,438,128,10,4,35,94,155432686,4,22,13,152,3,1,964,335,611,1471,212,23,156,7,69,10,3221,20856,28,306,3,2,90,4,5,162,7,11,27,548,4,4,285,8,16,26,35,57,49,344,63,58,30,2,3826,0,38,13,18.333327293395996,12.150049209594727,1
147.56573581695557,1,3,1,2,3,1,2,1,1,1,1,1,1,2,3,2,1,1,2,3,1,2,2,2,3,2,1,2,3,1,3,1,3,2,3,3,3,2,2,1,3,3,3,3,3,2,3,2,3,1,1,3,1,1,2,1,1,2,3,1,3,3,3,2,3,1,1,2,1,1,1,3,1,3,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,3,2,2,2,2,1,2,2,1,3,3,3,1,1,2,3,3,3,1,3,2,2,1,3,3,3,3,2,2,3,1,1,3,1,1,1,3,2,2,2,2,3,3,3,2,2,3,1,3,2,1,3,1,2,1,1,1,1,1,2,3,3,3,3,3,2,1,1,1,3,1,2,2,2,3,3,2,1,2,1,1,2,1,3,1,2,3,2,1,3,3,2,16,148,1,0,1,0,2,47,1900,19,17,8,4,0,84,8102,232,12,516,1783,26,26,979,1407,183,26,56,1,20,6,3842,232,36,31,944,2,196,1757,42,4898,652,255,9356,61,178,15048,2867,1381,116,107,15,35,165,103,2255,15,1720,241,1102,2345,2,4,32,153044001,25,14,116,131,1660,1331,1436,11,28,10,2215,50,9838,85,1456,156,33,51,303,13,33,668,128,61,3,10,66,15,302,111,5,40,0,3247,29,671,162,1,1,25,30,187183707,15,5,30,68,3,0,1036,358,277,1181,253,22,18,6,371,4,3062,33793,15,85,0,2,45,35,4,77,6,1,23,2844,2,2,55,4,6,14,35,39,79,280,48,97,18,0,2596,1,13,23,18.45420789718628,273.0541229248047,0
147.56573581695557,1,1,2,2,3,2,1,3,1,3,1,3,3,3,2,2,1,1,2,2,3,1,2,3,2,3,2,3,3,1,1,3,2,3,3,3,2,3,2,3,2,1,1,3,1,2,3,3,1,1,3,1,1,2,3,2,1,1,3,1,3,2,3,1,2,3,2,1,1,2,3,2,2,1,3,1,3,3,3,1,3,2,1,2,2,2,3,1,1,2,2,3,1,3,2,1,2,1,2,1,3,1,2,1,2,1,1,3,3,3,1,1,2,2,3,3,3,2,1,1,1,3,2,3,2,3,1,2,1,1,3,2,1,2,2,2,1,3,2,2,2,1,2,3,2,1,1,1,1,1,2,1,1,3,1,2,1,3,3,1,1,2,3,3,3,3,1,2,3,3,2,2,1,1,1,3,2,1,3,1,1,3,2,1,1,10,70,1,0,0,0,1,13,718,24,14,5,31,10,53,1778,238,26,630,2538,8,11,64,135,117,32,46,5,22,8,2132,363,14,30,438,6,37,460,85,1167,144,653,26508,35,18,29356,3554,950,97,50,18,38,194,370,665,2,1287,294,931,12616,4,3,77,111394594,13,9,66,58,1232,266,516,21,20,20,2032,8,39073,17,1172,336,116,49,336,89,27,101,339,282,3,6,204,22,224,140,0,20,5,1130,27,146,155,7,2,13,145,53846192,8,12,4,66,1,1,1978,497,476,355,271,50,82,7,648,2,793,38592,19,183,0,1,10,14,3,21,4,5,66,2777,3,1,257,7,4,30,12,20,75,79,37,43,24,4,2902,0,18,7,18.977547645568848,701.7476558685303,0
147.56573581695557,3,1,2,1,1,3,3,3,1,1,1,1,1,3,1,3,3,2,3,3,1,2,2,1,3,3,3,1,3,1,2,1,1,3,1,3,3,3,2,3,1,3,3,3,1,3,3,3,1,1,1,3,2,3,2,3,2,1,3,2,1,3,1,3,1,2,1,2,2,2,2,2,1,1,1,2,3,2,1,1,3,3,1,1,1,3,1,2,2,1,1,3,3,3,1,1,1,2,2,3,1,1,1,1,2,2,3,2,2,1,2,2,1,3,2,2,2,2,2,2,1,1,2,3,3,3,3,1,2,1,3,1,3,2,2,1,2,3,2,1,3,3,3,2,1,2,3,3,3,2,2,2,1,2,2,3,3,1,3,3,1,2,3,2,2,1,3,1,1,1,3,3,2,3,2,2,1,2,3,3,2,2,1,3,1,16,95,0,1,1,1,2,78,2356,12,3,10,18,10,47,13388,172,16,995,1538,4,45,248,934,17,2,24,7,3,1,3356,335,11,18,415,6,123,309,102,3845,702,1710,11508,76,26,5526,1435,1912,58,175,27,17,105,34,2943,10,1136,308,258,19577,0,1,6,97499192,14,19,108,15,1194,715,273,16,12,23,3244,25,29936,111,646,295,84,40,171,90,12,497,334,390,0,2,339,17,323,139,2,16,5,1728,10,215,192,1,2,10,140,120650491,19,24,14,62,2,1,1146,243,965,1375,249,62,63,4,86,10,1290,20274,18,324,3,1,61,24,2,184,2,7,81,1205,1,3,159,3,20,23,8,25,27,27,73,38,30,1,3213,0,11,12,18.94130849838257,648.5474109649658,0
