time,-O,-faggressive-loop-optimizations,-falign-functions,-falign-jumps,-falign-labels,-falign-loops,-fasynchronous-unwind-tables,-fbranch-count-reg,-fbranch-probabilities,-fbranch-target-load-optimize,-fbranch-target-load-optimize2,-fbtr-bb-exclusive,-fcaller-saves,-fcombine-stack-adjustments,-fcommon,-fcompare-elim,-fconserve-stack,-fcprop-registers,-fcrossjumping,-fcse-follow-jumps,-fcx-fortran-rules,-fcx-limited-range,-fdata-sections,-fdce,-fdefer-pop,-fdelayed-branch,-fdelete-null-pointer-checks,-fdevirtualize,-fdse,-fearly-inlining,-fexceptions,-fexpensive-optimizations,-ffinite-math-only,-ffloat-store,-fforward-propagate,-fgcse,-fgcse-after-reload,-fgcse-las,-fgcse-lm,-fgcse-sm,-fgraphite-identity,-fguess-branch-probability,-fhandle-exceptions,-fhoist-adjacent-loads,-fif-conversion,-fif-conversion2,-finline,-finline-atomics,-finline-functions,-finline-functions-called-once,-finline-small-functions,-fipa-cp,-fipa-cp-clone,-fipa-profile,-fipa-pta,-fipa-pure-const,-fipa-reference,-fipa-sra,-fira-hoist-pressure,-fivopts,-fjump-tables,-floop-block,-floop-interchange,-floop-nest-optimize,-floop-parallelize-all,-floop-strip-mine,-fmath-errno,-fmerge-all-constants,-fmerge-constants,-fmodulo-sched,-fmove-loop-invariants,-fnon-call-exceptions,-fnothrow-opt,-fomit-frame-pointer,-fopt-info,-foptimize-register-move,-foptimize-sibling-calls,-foptimize-strlen,-fpeel-loops,-fpeephole,-fpeephole2,-fpredictive-commoning,-fprefetch-loop-arrays,-freg-struct-return,-fregmove,-frename-registers,-freorder-blocks,-freorder-blocks-and-partition,-freorder-functions,-frerun-cse-after-loop,-freschedule-modulo-scheduled-loops,-frounding-math,-frtti,-fsched-critical-path-heuristic,-fsched-dep-count-heuristic,-fsched-group-heuristic,-fsched-interblock,-fsched-last-insn-heuristic,-fsched-pressure,-fsched-rank-heuristic,-fsched-spec,-fsched-spec-insn-heuristic,-fsched-spec-load,-fsched-spec-load-dangerous,-fsched-stalled-insns,-fsched-stalled-insns-dep,-fsched2-use-superblocks,-fschedule-insns,-fschedule-insns2,-fsection-anchors,-fsel-sched-pipelining,-fsel-sched-pipelining-outer-loops,-fsel-sched-reschedule-pipelined,-fselective-scheduling,-fselective-scheduling2,-fshort-enums,-fshort-wchar,-fshrink-wrap,-fsignaling-nans,-fsigned-zeros,-fsingle-precision-constant,-fsplit-ivs-in-unroller,-fsplit-wide-types,-fstack-clash-protection,-fstrict-aliasing,-fstrict-enums,-fthread-jumps,-fno-threadsafe-statics,-ftoplevel-reorder,-ftrapping-math,-ftrapv,-ftree-bit-ccp,-ftree-builtin-call-dce,-ftree-ccp,-ftree-ch,-ftree-coalesce-vars,-ftree-copy-prop,-ftree-copyrename,-ftree-cselim,-ftree-dce,-ftree-dominator-opts,-ftree-dse,-ftree-forwprop,-ftree-fre,-ftree-loop-distribute-patterns,-ftree-loop-distribution,-ftree-loop-if-convert,-ftree-loop-if-convert-stores,-ftree-loop-im,-ftree-loop-ivcanon,-ftree-loop-optimize,-ftree-lrs,-ftree-partial-pre,-ftree-phiprop,-ftree-pre,-ftree-pta,-ftree-reassoc,-ftree-scev-cprop,-ftree-sink,-ftree-slp-vectorize,-ftree-slsr,-ftree-sra,-ftree-switch-conversion,-ftree-tail-merge,-ftree-ter,-ftree-vect-loop-version,-ftree-vectorize,-ftree-vrp,-funit-at-a-time,-funroll-all-loops,-funroll-loops,-funsafe-loop-optimizations,-funsafe-math-optimizations,-funswitch-loops,-funwind-tables,-fvar-tracking,-fvar-tracking-assignments,-fvar-tracking-assignments-toggle,-fvar-tracking-uninit,-fvariable-expansion-in-unroller,-fvect-cost-model,-fvpt,-fweb,-fwhole-program,-fwrapv,align-loop-iterations,align-threshold,allow-load-data-races,allow-packed-load-data-races,allow-packed-store-data-races,allow-store-data-races,case-values-threshold,comdat-sharing-probability,cxx-max-namespaces-for-diagnostic-help,early-inlining-insns,gcse-after-reload-critical-fraction,gcse-after-reload-partial-fraction,gcse-cost-distance-ratio,gcse-unrestricted-cost,ggc-min-expand,ggc-min-heapsize,graphite-max-bbs-per-function,graphite-max-nb-scop-params,hot-bb-count-ws-permille,hot-bb-frequency-fraction,inline-min-speedup,inline-unit-growth,integer-share-limit,ipa-cp-eval-threshold,ipa-cp-loop-hint-bonus,ipa-cp-value-list-size,ipa-max-agg-items,ipa-sra-ptr-growth-factor,ipcp-unit-growth,ira-loop-reserved-regs,ira-max-conflict-table-size,ira-max-loops-num,iv-always-prune-cand-set-bound,iv-consider-all-candidates-bound,iv-max-considered-uses,l1-cache-line-size,l1-cache-size,l2-cache-size,large-function-growth,large-function-insns,large-stack-frame,large-stack-frame-growth,large-unit-insns,lim-expensive,loop-block-tile-size,loop-invariant-max-bbs-in-loop,loop-max-datarefs-for-datadeps,lto-min-partition,lto-partitions,max-average-unrolled-insns,max-completely-peel-loop-nest-depth,max-completely-peel-times,max-completely-peeled-insns,max-crossjump-edges,max-cse-insns,max-cse-path-length,max-cselib-memory-locations,max-delay-slot-insn-search,max-delay-slot-live-search,max-dse-active-local-stores,max-early-inliner-iterations,max-fields-for-field-sensitive,max-gcse-insertion-ratio,max-gcse-memory,max-goto-duplication-insns,max-grow-copy-bb-insns,max-hoist-depth,max-inline-insns-auto,max-inline-insns-recursive,max-inline-insns-recursive-auto,max-inline-insns-single,max-inline-recursive-depth,max-inline-recursive-depth-auto,max-iterations-computation-cost,max-iterations-to-track,max-jump-thread-duplication-stmts,max-last-value-rtl,max-modulo-backtrack-attempts,max-once-peeled-insns,max-partial-antic-length,max-peel-branches,max-peel-times,max-peeled-insns,max-pending-list-length,max-pipeline-region-blocks,max-pipeline-region-insns,max-predicted-iterations,max-reload-search-insns,max-sched-extend-regions-iters,max-sched-insn-conflict-delay,max-sched-ready-insns,max-sched-region-blocks,max-sched-region-insns,max-slsr-cand-scan,max-stores-to-sink,max-tail-merge-comparisons,max-tail-merge-iterations,max-tracked-strlens,max-unroll-times,max-unrolled-insns,max-unswitch-insns,max-unswitch-level,max-variable-expansions-in-unroller,max-vartrack-expr-depth,max-vartrack-reverse-op-size,max-vartrack-size,min-crossjump-insns,min-inline-recursive-probability,min-insn-to-prefetch-ratio,min-spec-prob,min-vect-loop-bound,omega-eliminate-redundant-constraints,omega-hash-table-size,omega-max-eqs,omega-max-geqs,omega-max-keys,omega-max-vars,omega-max-wild-cards,partial-inlining-entry-probability,predictable-branch-outcome,prefetch-latency,prefetch-min-insn-to-mem-ratio,sccvn-max-alias-queries-per-access,sccvn-max-scc-size,scev-max-expr-complexity,scev-max-expr-size,sched-mem-true-dep-cost,sched-pressure-algorithm,sched-spec-prob-cutoff,sched-state-edge-prob-cutoff,selsched-insns-to-rename,selsched-max-lookahead,selsched-max-sched-times,simultaneous-prefetches,sink-frequency-threshold,slp-max-insns-in-bb,sms-dfa-history,sms-loop-average-count-threshold,sms-max-ii-factor,sms-min-sc,ssp-buffer-size,switch-conversion-max-branch-ratio,tm-max-aggregate-size,tracer-dynamic-coverage,tracer-dynamic-coverage-feedback,tracer-max-code-growth,tracer-min-branch-probability,tracer-min-branch-probability-feedback,tracer-min-branch-ratio,tree-reassoc-width,uninit-control-dep-attempts,use-canonical-types,vect-max-version-for-alias-checks,vect-max-version-for-alignment-checks,build_time,qor,is_best
155.4934859275818,2,3,3,2,2,3,3,1,2,1,3,2,1,2,3,2,3,3,1,3,2,3,3,1,3,2,1,1,3,3,2,2,2,2,2,1,1,2,3,3,3,1,3,3,3,3,3,2,2,2,3,1,2,1,2,1,2,1,3,2,2,1,2,2,3,3,3,2,1,2,1,2,1,3,1,2,3,1,3,3,3,1,3,2,2,2,1,2,3,3,1,2,3,3,3,2,1,3,2,3,2,3,2,1,3,1,3,2,3,1,1,3,1,1,1,2,2,2,3,2,3,2,3,3,1,1,1,1,2,2,1,2,2,2,3,3,2,1,1,3,3,3,2,3,3,3,1,3,3,2,3,3,2,2,3,1,1,2,2,3,1,2,3,2,1,1,1,3,1,3,2,2,3,3,2,2,3,3,2,2,3,3,3,2,2,16,216,0,1,0,0,1,54,1114,39,8,12,37,5,68,6310,283,36,928,913,30,63,409,269,216,5,18,8,29,4,813,182,15,69,939,3,98,544,224,1618,1012,2220,16583,39,160,18414,957,1877,78,45,6,33,91,179,847,26,1006,177,147,15473,2,4,74,30655522,9,20,72,63,918,327,189,14,30,6,2814,39,23668,88,857,153,75,21,139,35,53,660,165,256,1,3,201,10,126,89,7,13,2,3834,2,499,12,3,3,29,35,148149396,12,20,29,24,4,0,1937,171,1019,1862,159,59,232,2,779,12,3324,13245,31,125,2,2,50,35,5,193,6,5,96,1230,0,4,290,5,31,9,22,54,67,307,24,55,3,3,892,1,21,12,19.67783784866333,286.48996353149414,1
155.4934859275818,3,3,3,2,2,1,3,1,2,3,2,1,3,2,1,1,2,3,2,2,3,1,1,1,3,2,3,1,1,3,2,1,2,3,3,2,3,2,2,2,3,1,3,1,1,1,2,3,3,1,1,3,2,1,1,3,3,3,3,1,3,3,2,1,3,2,3,2,3,2,2,3,2,2,2,3,1,1,1,2,1,2,3,1,2,3,3,3,1,1,2,3,1,3,3,1,3,1,3,1,3,3,3,2,3,1,2,3,1,3,3,2,3,2,1,2,2,2,1,2,3,1,2,2,2,3,3,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,3,2,1,3,2,2,3,3,2,3,2,1,1,2,3,2,1,1,1,3,1,2,1,2,2,2,1,3,2,2,1,2,2,3,1,2,3,1,3,1,3,6,157,1,0,1,1,4,75,2776,23,5,12,25,4,56,11119,243,39,374,2492,13,34,956,972,197,16,42,2,3,6,3984,94,22,107,730,7,179,1655,244,6691,169,1180,16926,59,82,6107,1152,1572,110,270,15,31,259,296,3938,21,220,145,1303,15283,2,4,33,16742484,22,20,106,77,1454,172,170,19,12,5,318,56,25805,131,1078,31,124,58,256,12,43,737,298,392,3,5,345,21,318,126,3,3,2,1602,20,298,100,12,3,18,75,97581199,20,36,21,22,2,1,1195,343,188,897,340,11,238,3,104,2,2240,25963,20,45,3,2,87,32,3,187,4,9,74,2560,4,3,212,7,19,26,9,55,48,67,88,28,2,4,763,1,36,10,19.28803014755249,20.97034454345703,1
155.4934859275818,0,1,3,3,3,1,1,3,1,1,1,1,3,3,1,3,3,1,3,1,2,2,3,1,3,1,1,2,3,2,2,1,2,2,3,3,1,2,2,3,3,1,3,2,1,1,1,3,2,3,2,1,3,2,2,3,1,1,1,1,3,3,1,3,2,3,3,2,2,1,1,1,3,3,1,2,2,3,3,2,2,1,2,3,3,1,2,2,1,1,1,2,1,3,2,2,3,2,3,3,1,3,1,3,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,3,2,2,2,2,2,1,1,3,1,2,1,2,3,1,3,2,1,3,3,2,1,1,3,2,1,1,1,3,3,3,1,3,3,2,3,1,3,2,3,3,2,2,3,1,2,3,3,3,3,2,2,2,1,3,1,1,1,2,2,2,2,14,360,0,1,1,1,1,28,277,15,38,11,17,10,111,5837,206,38,524,1040,17,43,671,443,46,16,52,0,10,2,719,214,7,23,740,6,22,1816,132,7311,429,3476,15556,70,25,4884,587,3843,104,178,28,44,197,359,3643,12,1434,291,146,11180,4,0,49,195231651,2,12,79,19,1462,282,1577,18,11,29,1359,52,17527,63,1077,338,97,43,399,71,53,283,192,168,1,4,283,27,298,78,8,14,5,3944,16,401,92,6,2,24,29,98855638,20,38,7,120,4,0,285,141,113,1761,285,8,213,8,674,8,2544,24622,19,198,3,1,57,28,4,49,3,10,29,2464,2,3,50,8,24,12,25,46,53,305,91,79,3,0,3993,1,24,8,20.680590391159058,1484.267234802246,0
155.4934859275818,1,3,3,2,2,2,1,2,3,2,2,3,2,3,2,1,3,2,1,3,3,1,1,3,1,2,1,2,2,2,1,1,3,2,1,1,1,3,1,2,2,2,1,1,3,3,3,2,2,3,2,2,1,2,3,1,1,2,2,3,2,2,1,2,1,2,1,1,1,3,2,3,1,2,2,3,3,1,3,2,2,1,3,3,1,3,1,1,2,2,2,1,2,3,1,2,3,3,3,2,2,3,3,1,2,2,3,2,1,2,2,1,3,1,1,3,2,1,3,1,2,1,2,3,3,3,2,2,2,3,2,1,2,3,2,3,2,1,2,3,3,2,1,1,1,2,1,2,2,2,3,2,3,1,3,1,1,3,2,2,2,3,3,2,1,1,3,1,3,2,2,3,1,2,2,3,1,2,1,2,1,2,2,3,1,2,46,1,1,1,1,1,23,2152,16,15,12,23,7,56,11497,383,29,328,1835,37,84,844,1364,47,32,7,4,21,6,2069,360,27,75,313,2,118,656,292,8635,530,768,16481,31,162,27248,3165,3821,83,222,20,18,128,330,719,24,461,352,243,7813,1,4,10,163468861,3,32,73,153,1438,642,636,32,10,13,2848,9,23586,148,100,145,52,50,46,70,47,401,296,104,1,7,25,24,285,57,8,39,1,3738,15,305,128,3,0,28,142,165082727,18,38,9,117,1,1,902,345,718,1309,409,28,259,7,334,8,3393,24125,31,317,2,2,53,30,2,179,8,0,22,1550,0,3,375,4,15,7,15,25,38,192,94,100,36,4,3454,0,32,15,19.662066221237183,385.7688903808594,0
155.4934859275818,3,2,3,3,3,1,2,1,1,2,3,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,3,3,2,2,2,1,3,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,3,3,1,3,1,2,1,3,2,3,1,1,3,2,1,2,2,1,2,2,3,1,3,2,2,2,3,2,3,1,2,3,2,2,2,2,3,1,3,1,3,3,3,2,3,1,3,3,2,3,3,2,3,2,2,2,1,3,2,2,1,2,3,3,1,2,3,1,1,3,2,3,1,3,2,3,3,3,3,2,3,3,3,3,1,2,3,1,1,1,2,2,1,3,3,3,3,2,3,1,2,1,3,2,2,3,1,2,3,2,2,2,1,3,3,1,2,2,2,3,2,1,1,3,3,2,1,1,2,3,1,7,170,0,1,0,1,2,8,2094,38,36,7,20,11,94,2225,228,29,603,927,22,35,563,1921,20,16,12,2,6,7,2416,272,11,42,993,5,241,1002,118,4882,472,1339,13304,49,82,26231,3960,716,122,292,26,59,69,379,3725,2,1862,378,1158,3452,2,3,12,28407705,15,24,100,75,1053,553,1002,5,14,23,2880,7,16751,25,1043,70,121,63,178,93,15,221,336,319,3,9,67,9,61,79,1,11,7,670,23,164,46,6,4,17,136,170638842,15,31,33,21,2,0,370,509,417,1561,257,68,242,7,389,7,3047,15322,22,103,3,1,72,9,3,181,4,12,78,431,0,4,288,8,3,30,9,38,26,394,26,43,5,3,2937,0,3,12,19.8997061252594,601.7611026763916,0
155.4934859275818,0,1,2,3,3,2,1,2,1,3,1,1,3,2,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,3,1,2,2,1,3,1,2,1,3,3,1,1,2,1,3,1,2,1,2,3,1,2,3,1,2,2,1,3,1,3,1,1,2,3,3,3,1,1,1,3,3,2,2,1,2,1,1,1,1,3,2,3,1,2,1,3,2,1,2,2,1,2,1,3,1,2,2,3,1,3,1,1,3,2,3,2,1,3,1,2,2,3,3,1,1,3,2,1,1,2,3,3,2,3,2,3,1,2,2,1,1,3,1,2,1,1,3,3,3,2,1,3,1,2,2,3,2,2,2,3,3,2,3,1,1,2,2,2,2,1,2,2,2,2,3,2,2,3,1,1,3,3,2,1,2,2,2,2,3,3,1,2,3,3,1,3,258,1,0,0,1,2,47,996,6,37,0,5,1,69,5506,254,7,533,2562,26,24,286,1863,62,24,20,6,13,0,1703,248,20,101,690,4,56,228,298,8537,842,1399,27767,46,133,27282,2991,2869,29,195,15,28,353,340,1494,38,581,109,1133,14814,2,1,14,107763158,9,29,102,106,329,529,575,10,18,16,3600,58,14884,33,942,43,88,32,141,121,51,643,379,309,4,3,374,40,111,84,5,4,8,1943,6,320,84,1,1,7,35,46072509,12,9,3,148,2,0,630,71,278,536,425,38,174,8,371,11,2909,3804,30,175,2,1,98,36,2,159,1,3,38,3367,3,0,196,3,9,9,20,82,85,288,61,36,27,4,2035,0,36,24,20.53576111793518,1319.1025257110596,0
155.4934859275818,1,2,1,1,2,3,1,1,2,2,3,3,1,1,2,3,3,2,1,1,2,3,3,1,3,1,2,3,2,1,1,2,2,3,2,2,3,2,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,2,3,2,2,2,1,1,3,2,2,3,3,1,2,2,2,2,2,1,3,1,2,3,3,3,2,1,2,2,3,2,1,3,3,2,2,3,2,3,2,2,2,3,1,1,3,3,2,3,2,2,2,1,3,2,3,3,3,1,1,3,1,1,1,3,2,1,3,3,1,1,3,2,1,2,3,1,2,3,3,1,1,2,1,3,1,1,1,3,3,2,2,3,3,3,2,3,1,2,1,2,1,1,3,2,3,2,1,2,3,2,3,3,1,2,2,3,1,3,1,2,2,1,3,3,1,1,3,1,1,2,4,398,1,0,1,1,3,6,3077,32,5,4,14,1,79,6977,62,24,618,3996,4,16,255,1836,109,26,52,5,4,3,1221,219,35,117,267,7,231,1559,302,5708,696,1398,32195,16,79,15147,1427,341,68,170,12,13,212,214,765,21,1584,241,616,13430,2,3,73,68868359,18,8,79,32,1439,1777,649,23,11,28,414,7,24539,37,750,111,100,35,62,64,47,563,74,245,4,1,137,22,313,137,5,18,2,633,9,254,62,4,2,27,51,23547904,15,20,7,57,2,1,698,425,979,291,440,13,82,4,470,5,3542,21665,40,174,4,1,50,5,1,162,0,9,21,1850,3,4,247,4,9,16,14,96,83,399,68,39,32,1,1199,0,19,17,19.43562936782837,13.22317123413086,1
155.4934859275818,0,1,3,2,2,1,3,3,1,2,1,1,2,3,3,1,1,3,1,3,3,3,2,1,3,2,2,3,2,3,1,2,1,1,1,1,2,3,3,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,2,1,3,3,1,1,3,3,2,3,1,2,2,1,2,2,1,1,3,3,3,3,1,3,2,3,1,2,3,3,2,1,1,2,3,1,2,3,2,2,3,3,2,3,3,2,1,3,2,1,3,3,3,1,3,1,2,1,2,3,3,1,2,2,3,2,2,1,3,2,3,2,1,2,1,1,3,2,1,2,2,1,2,1,3,1,3,1,2,3,2,3,3,2,1,3,2,1,3,2,3,2,3,2,2,3,1,2,3,3,3,3,3,3,2,2,1,2,1,2,2,3,1,3,2,1,1,3,2,1,1,16,179,0,1,1,1,1,27,3448,23,40,11,2,5,26,5981,177,24,460,2207,26,84,344,1945,54,16,57,2,33,2,1884,236,14,38,896,4,73,1908,341,7552,544,1203,37025,9,129,12498,2365,2412,22,263,29,45,304,47,1296,33,919,267,391,15760,3,1,80,75367910,23,12,12,91,1594,1432,662,13,24,37,3737,32,5649,72,827,393,36,28,74,84,48,319,344,93,3,6,79,35,264,119,7,40,8,1511,13,701,99,3,1,5,119,179638521,7,34,8,136,4,0,975,392,835,128,212,41,76,0,376,7,1678,32711,3,38,3,2,40,35,5,153,5,5,50,2911,2,4,210,1,12,31,23,53,77,255,29,69,5,0,2401,1,6,15,20.67839503288269,1444.4010257720947,0
155.4934859275818,3,1,2,1,3,3,1,3,2,3,3,1,3,3,1,2,3,1,1,1,1,1,2,1,2,1,1,3,2,2,1,2,2,2,3,2,1,3,2,1,1,3,1,3,3,3,2,2,3,2,3,3,2,3,3,2,3,1,2,3,1,3,1,1,3,1,1,2,3,3,2,3,1,3,3,1,3,1,1,1,1,1,3,3,1,3,2,3,2,3,3,3,3,1,2,1,1,2,2,1,2,1,2,2,3,2,2,1,2,2,3,2,3,2,3,3,3,3,3,2,3,1,3,3,3,2,2,3,1,3,3,3,1,1,2,3,2,2,2,1,3,2,1,3,3,2,1,1,1,3,2,3,3,1,1,3,2,1,3,3,3,3,3,2,3,1,3,1,3,1,2,1,1,2,3,1,3,1,3,2,3,1,1,2,3,5,276,0,0,1,1,2,54,2868,31,27,9,29,5,72,12661,353,40,388,1770,9,85,454,1011,54,10,33,3,5,6,1760,168,4,71,629,5,159,208,123,3262,565,2070,19027,5,141,15917,3337,3251,45,114,18,52,169,282,2776,12,1052,338,329,9273,3,3,29,126635065,5,3,95,59,260,1092,352,14,5,21,3440,9,13305,44,1135,249,114,58,195,120,48,231,190,140,2,2,141,12,329,69,3,40,0,2208,23,423,12,12,0,46,29,48021001,18,13,33,15,3,1,200,413,474,1824,367,60,208,2,525,3,922,35142,11,115,2,1,52,35,5,86,4,12,55,1563,2,0,116,4,25,32,24,76,29,113,68,96,9,2,1323,1,22,9,20.04438066482544,830.6732177734375,0
155.4934859275818,0,2,2,3,2,1,3,3,1,1,3,2,1,2,2,2,1,3,1,2,2,3,1,3,1,3,1,1,2,2,1,3,1,3,2,3,2,2,3,3,2,1,1,1,1,1,2,2,3,2,1,2,1,1,2,3,1,2,2,2,1,2,3,3,3,2,1,2,2,2,3,1,3,2,3,2,3,1,1,2,2,3,3,1,1,3,2,3,1,3,3,1,1,1,3,2,3,2,2,2,1,1,1,3,2,1,2,3,3,1,1,2,3,1,2,2,2,3,3,1,2,3,3,2,1,2,1,3,2,3,3,3,1,1,3,1,2,1,3,3,1,3,3,2,1,1,3,1,3,1,2,2,3,1,2,1,3,3,2,2,2,3,2,2,2,1,2,2,3,1,1,2,2,3,1,1,2,3,2,3,1,1,3,1,1,3,255,0,0,0,0,2,61,1025,33,21,10,36,9,37,15937,314,7,981,3770,16,66,970,1853,150,7,63,4,30,8,2863,32,38,109,119,2,209,1074,385,6908,484,1966,18797,25,54,22364,1965,3542,89,64,22,8,397,132,1844,23,1893,359,678,16248,1,1,12,143526314,22,24,37,19,806,1158,1212,13,10,15,3441,29,39989,71,236,212,39,18,237,13,27,624,341,207,2,4,120,32,38,129,4,3,5,251,32,226,101,8,2,9,133,18655890,8,12,29,95,1,0,479,70,700,983,438,57,146,8,742,1,2241,22405,9,31,0,2,30,39,1,60,8,7,23,3719,1,0,173,8,24,26,35,26,34,143,56,64,17,1,2864,1,8,3,21.011478900909424,1818.9077377319336,0
